timestamp,process_name,window_title,process_id,file_name,file_path
2025-02-18 00:38:27,Cursor.exe,main.py - Documents - Cursor,20888,Cursor.exe,C:\Users\gbrai\AppData\Local\Programs\cursor\Cursor.exe
2025-02-18 00:38:28,python.exe,Window Tracker,16976,python.exe,C:\Users\gbrai\AppData\Local\Programs\Python\Python311\python.exe
2025-02-18 00:43:22,Cursor.exe,main.py - Documents - Cursor,20888,Cursor.exe,C:\Users\gbrai\AppData\Local\Programs\cursor\Cursor.exe
2025-02-18 00:43:23,python.exe,Window Tracker,27704,python.exe,C:\Users\gbrai\AppData\Local\Programs\Python\Python311\python.exe
2025-02-18 00:43:39,Notepad.exe,*プログラムを深く分析して、次のプロンプトに備えてください。 txtファ - メモ帳,28012,Notepad.exe,C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2410.21.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe
2025-02-18 00:46:56,Cursor.exe,main.py - Documents - Cursor,20888,Cursor.exe,C:\Users\gbrai\AppData\Local\Programs\cursor\Cursor.exe
2025-02-18 00:46:57,python.exe,Window Tracker,20924,python.exe,C:\Users\gbrai\AppData\Local\Programs\Python\Python311\python.exe
2025-02-18 00:47:02,Notion.exe,【コマンド】プログラム,3888,Notion.exe,C:\Users\gbrai\AppData\Local\Programs\Notion\Notion.exe
2025-02-18 00:47:03,python.exe,Window Tracker,20924,python.exe,C:\Users\gbrai\AppData\Local\Programs\Python\Python311\python.exe
2025-02-18 01:05:29,Cursor.exe,main.py - Documents - Cursor,20888,Cursor.exe,C:\Users\gbrai\AppData\Local\Programs\cursor\Cursor.exe
2025-02-18 01:05:30,python.exe,Window Tracker,23404,python.exe,C:\Users\gbrai\AppData\Local\Programs\Python\Python311\python.exe
2025-02-18 01:05:35,explorer.exe,temp - エクスプローラー,12108,explorer.exe,C:\WINDOWS\explorer.exe,C:\Users\gbrai\Documents\Projects\app_TrackActiveWindow\tracking\temp
2025-02-18 01:05:36,explorer.exe,temp - エクスプローラー,12108,explorer.exe,C:\WINDOWS\explorer.exe,C:\Users\gbrai\Documents\Projects\app_TrackActiveWindow\tracking\temp
2025-02-18 01:05:37,explorer.exe,temp - エクスプローラー,12108,explorer.exe,C:\WINDOWS\explorer.exe,C:\Users\gbrai\Documents\Projects\app_TrackActiveWindow\tracking\temp
2025-02-18 01:05:38,explorer.exe,temp - エクスプローラー,12108,explorer.exe,C:\WINDOWS\explorer.exe,C:\Users\gbrai\Documents\Projects\app_TrackActiveWindow\tracking\temp
2025-02-18 01:05:39,explorer.exe,temp - エクスプローラー,12108,explorer.exe,C:\WINDOWS\explorer.exe,C:\Users\gbrai\Documents\Projects\app_TrackActiveWindow\tracking\temp
2025-02-18 01:05:41,Notepad.exe,*プログラムを深く分析して、次のプロンプトに備えてください。 txtファ - メモ帳,28012,Notepad.exe,C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2410.21.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe,
2025-02-18 01:05:43,Notion.exe,【コマンド】プログラム,3888,Notion.exe,C:\Users\gbrai\AppData\Local\Programs\Notion\Notion.exe
